log_id,occurred_at,source,incident_category,risk,pii_status,pii_summary,analyzer_reason,redacted_log
LOG-1763519691320-73,,시스템 배치/감사,exfiltration,Medium,No PII pattern,,(위험도 판단 설명 없음),(마스킹된 로그가 없습니다 - 원본 로그는 백엔드/sf_logs에서만 유지)
LOG-1763519697319-919,,시스템 배치/감사,exfiltration,Medium,No PII pattern,,(위험도 판단 설명 없음),(마스킹된 로그가 없습니다 - 원본 로그는 백엔드/sf_logs에서만 유지)
LOG-1763519705054-802,,로그인 게이트웨이,credential_abuse,Medium,No PII pattern,,(위험도 판단 설명 없음),(마스킹된 로그가 없습니다 - 원본 로그는 백엔드/sf_logs에서만 유지)
LOG-1763519721321-13,,시스템 배치/감사,exfiltration,Medium,No PII pattern,,(위험도 판단 설명 없음),(마스킹된 로그가 없습니다 - 원본 로그는 백엔드/sf_logs에서만 유지)
LOG-1763519739318-439,,시스템 배치/감사,exfiltration,Medium,No PII pattern,,(위험도 판단 설명 없음),(마스킹된 로그가 없습니다 - 원본 로그는 백엔드/sf_logs에서만 유지)
LOG-1763519753384-977,,로그인 게이트웨이,credential_abuse,Medium,No PII pattern,,(위험도 판단 설명 없음),(마스킹된 로그가 없습니다 - 원본 로그는 백엔드/sf_logs에서만 유지)
LOG-1763519759065-206,,오브젝트 스토리지,misconfiguration,High,No PII pattern,,(위험도 판단 설명 없음),(마스킹된 로그가 없습니다 - 원본 로그는 백엔드/sf_logs에서만 유지)
LOG-1763519775375-119,,시스템 배치/감사,exfiltration,Medium,No PII pattern,,(위험도 판단 설명 없음),(마스킹된 로그가 없습니다 - 원본 로그는 백엔드/sf_logs에서만 유지)
LOG-1763519799306-317,,시스템 배치/감사,exfiltration,Medium,No PII pattern,,(위험도 판단 설명 없음),(마스킹된 로그가 없습니다 - 원본 로그는 백엔드/sf_logs에서만 유지)
LOG-1763519805396-340,,시스템 배치/감사,exfiltration,Medium,No PII pattern,,(위험도 판단 설명 없음),(마스킹된 로그가 없습니다 - 원본 로그는 백엔드/sf_logs에서만 유지)
LOG-1763519826026-50,,CRM 시스템,exfiltration,Medium,No PII pattern,,(위험도 판단 설명 없음),(마스킹된 로그가 없습니다 - 원본 로그는 백엔드/sf_logs에서만 유지)
LOG-1763519841608-508,,시스템 배치/감사,exfiltration,Medium,No PII pattern,,(위험도 판단 설명 없음),(마스킹된 로그가 없습니다 - 원본 로그는 백엔드/sf_logs에서만 유지)
LOG-1763519847315-141,,시스템 배치/감사,exfiltration,Medium,No PII pattern,,(위험도 판단 설명 없음),(마스킹된 로그가 없습니다 - 원본 로그는 백엔드/sf_logs에서만 유지)
LOG-1763519865404-640,,시스템 배치/감사,exfiltration,Medium,No PII pattern,,(위험도 판단 설명 없음),(마스킹된 로그가 없습니다 - 원본 로그는 백엔드/sf_logs에서만 유지)
LOG-1763519895406-244,,시스템 배치/감사,exfiltration,Medium,No PII pattern,,(위험도 판단 설명 없음),(마스킹된 로그가 없습니다 - 원본 로그는 백엔드/sf_logs에서만 유지)
LOG-1763519901315-697,,시스템 배치/감사,exfiltration,Medium,No PII pattern,,(위험도 판단 설명 없음),(마스킹된 로그가 없습니다 - 원본 로그는 백엔드/sf_logs에서만 유지)
LOG-1763519919336-726,,시스템 배치/감사,exfiltration,Medium,No PII pattern,,(위험도 판단 설명 없음),(마스킹된 로그가 없습니다 - 원본 로그는 백엔드/sf_logs에서만 유지)
LOG-1763519964010-334,,로그인 게이트웨이,credential_abuse,Medium,No PII pattern,,(위험도 판단 설명 없음),(마스킹된 로그가 없습니다 - 원본 로그는 백엔드/sf_logs에서만 유지)
LOG-1763519981781-486,,CRM 시스템,exfiltration,Medium,No PII pattern,,(위험도 판단 설명 없음),(마스킹된 로그가 없습니다 - 원본 로그는 백엔드/sf_logs에서만 유지)
LOG-1763519988413-246,,시스템 배치/감사,exfiltration,Medium,No PII pattern,,(위험도 판단 설명 없음),(마스킹된 로그가 없습니다 - 원본 로그는 백엔드/sf_logs에서만 유지)
LOG-1763520021484-958,,시스템 배치/감사,exfiltration,Medium,No PII pattern,,(위험도 판단 설명 없음),(마스킹된 로그가 없습니다 - 원본 로그는 백엔드/sf_logs에서만 유지)
LOG-1763520023182-271,,로그인 게이트웨이,credential_abuse,Medium,No PII pattern,,(위험도 판단 설명 없음),(마스킹된 로그가 없습니다 - 원본 로그는 백엔드/sf_logs에서만 유지)
LOG-1763520053337-457,,CRM 시스템,exfiltration,Medium,No PII pattern,,(위험도 판단 설명 없음),(마스킹된 로그가 없습니다 - 원본 로그는 백엔드/sf_logs에서만 유지)
LOG-1763520054262-23,,파일 서버,exfiltration,High,No PII pattern,,(위험도 판단 설명 없음),(마스킹된 로그가 없습니다 - 원본 로그는 백엔드/sf_logs에서만 유지)
LOG-1763520068572-145,,CRM 시스템,exfiltration,High,No PII pattern,,(위험도 판단 설명 없음),(마스킹된 로그가 없습니다 - 원본 로그는 백엔드/sf_logs에서만 유지)
LOG-1763520069297-310,,시스템 배치/감사,exfiltration,Medium,No PII pattern,,(위험도 판단 설명 없음),(마스킹된 로그가 없습니다 - 원본 로그는 백엔드/sf_logs에서만 유지)
LOG-1763520079978-437,,CRM 시스템,exfiltration,High,No PII pattern,,(위험도 판단 설명 없음),(마스킹된 로그가 없습니다 - 원본 로그는 백엔드/sf_logs에서만 유지)
LOG-1763520099369-990,,시스템 배치/감사,exfiltration,Medium,No PII pattern,,(위험도 판단 설명 없음),(마스킹된 로그가 없습니다 - 원본 로그는 백엔드/sf_logs에서만 유지)
LOG-1763520108451-994,,시스템 배치/감사,exfiltration,Medium,No PII pattern,,(위험도 판단 설명 없음),(마스킹된 로그가 없습니다 - 원본 로그는 백엔드/sf_logs에서만 유지)
LOG-1763520112953-481,,웹 애플리케이션,monitoring,Medium,No PII pattern,,(위험도 판단 설명 없음),(마스킹된 로그가 없습니다 - 원본 로그는 백엔드/sf_logs에서만 유지)
LOG-1763520118974-908,,오브젝트 스토리지,misconfiguration,High,No PII pattern,,(위험도 판단 설명 없음),(마스킹된 로그가 없습니다 - 원본 로그는 백엔드/sf_logs에서만 유지)
LOG-1763520153329-664,,시스템 배치/감사,exfiltration,Medium,No PII pattern,,(위험도 판단 설명 없음),(마스킹된 로그가 없습니다 - 원본 로그는 백엔드/sf_logs에서만 유지)
LOG-1763520201324-343,,시스템 배치/감사,exfiltration,Medium,No PII pattern,,(위험도 판단 설명 없음),(마스킹된 로그가 없습니다 - 원본 로그는 백엔드/sf_logs에서만 유지)
LOG-1763520207341-911,,시스템 배치/감사,exfiltration,Medium,No PII pattern,,(위험도 판단 설명 없음),(마스킹된 로그가 없습니다 - 원본 로그는 백엔드/sf_logs에서만 유지)
LOG-1763520219333-343,,시스템 배치/감사,exfiltration,Medium,No PII pattern,,(위험도 판단 설명 없음),(마스킹된 로그가 없습니다 - 원본 로그는 백엔드/sf_logs에서만 유지)
LOG-1763520233004-432,,오브젝트 스토리지,misconfiguration,High,No PII pattern,,(위험도 판단 설명 없음),(마스킹된 로그가 없습니다 - 원본 로그는 백엔드/sf_logs에서만 유지)
LOG-1763520239991-251,,CRM 시스템,exfiltration,Medium,No PII pattern,,(위험도 판단 설명 없음),(마스킹된 로그가 없습니다 - 원본 로그는 백엔드/sf_logs에서만 유지)
LOG-1763520263298-550,,로그인 게이트웨이,credential_abuse,Medium,No PII pattern,,(위험도 판단 설명 없음),(마스킹된 로그가 없습니다 - 원본 로그는 백엔드/sf_logs에서만 유지)
LOG-1763520275640-188,,로그인 게이트웨이,credential_abuse,Medium,No PII pattern,,(위험도 판단 설명 없음),(마스킹된 로그가 없습니다 - 원본 로그는 백엔드/sf_logs에서만 유지)
LOG-1763520279335-843,,시스템 배치/감사,exfiltration,Medium,No PII pattern,,(위험도 판단 설명 없음),(마스킹된 로그가 없습니다 - 원본 로그는 백엔드/sf_logs에서만 유지)
LOG-1763520285411-524,,시스템 배치/감사,exfiltration,Medium,No PII pattern,,(위험도 판단 설명 없음),(마스킹된 로그가 없습니다 - 원본 로그는 백엔드/sf_logs에서만 유지)
LOG-1763520297314-873,,시스템 배치/감사,exfiltration,Medium,No PII pattern,,(위험도 판단 설명 없음),(마스킹된 로그가 없습니다 - 원본 로그는 백엔드/sf_logs에서만 유지)
LOG-1763520321324-814,,시스템 배치/감사,exfiltration,Medium,No PII pattern,,(위험도 판단 설명 없음),(마스킹된 로그가 없습니다 - 원본 로그는 백엔드/sf_logs에서만 유지)
LOG-1763520333319-798,,시스템 배치/감사,exfiltration,Medium,No PII pattern,,(위험도 판단 설명 없음),(마스킹된 로그가 없습니다 - 원본 로그는 백엔드/sf_logs에서만 유지)
LOG-1763520345453-335,,시스템 배치/감사,exfiltration,Medium,No PII pattern,,(위험도 판단 설명 없음),(마스킹된 로그가 없습니다 - 원본 로그는 백엔드/sf_logs에서만 유지)
LOG-1763520351307-783,,시스템 배치/감사,exfiltration,Medium,No PII pattern,,(위험도 판단 설명 없음),(마스킹된 로그가 없습니다 - 원본 로그는 백엔드/sf_logs에서만 유지)
