id,log_id,risk,incident_category,title,text,source,notes,createdAt,updatedAt
1,UNKNOWN_ID,Safe,monitoring,[Safe] UNKNOWN / monitoring,"[#UNKNOWN_ID] UNKNOWN / monitoring

- 발생 시각: 2025-11-17T04:42:09.239Z
- 최종 위험도: Safe
- PII 요약: 정규식 기준 민감 PII 패턴 미탐지
- 위험도 판단 근거: (위험도 판단 이유 없음)
- 대응 권고: 보안 담당자 검토 후 필요 시 조치.

--- 로그 본문 (마스킹됨) ---
(로그 본문 없음)",UNKNOWN,,2025-11-16T09:45:30.122Z,2025-11-17T04:42:09.250Z
2,LOG-1763286334600-766,Medium,monitoring,[Medium] 시스템 배치/감사 / monitoring,"[#LOG-1763286334600-766] 시스템 배치/감사 / monitoring

- 발생 시각: 2025-11-16T09:45:30.056Z
- 최종 위험도: Medium
- PII 요약: 정규식 기준 민감 PII 패턴 미탐지
- 위험도 판단 근거: 로그에서 정상적인 백업 작업이 완료되었음을 나타내는 INFO 등급 메시지이며, 파일 전송 대상(target)이 내부 시스템(nas01)으로 한정됩니다. 외부 유출(exfiltration) 또는 계정 악용(credential_abuse) 관련 증거가 없고, 작업 상태(status=OK)와 오류 수(errors=0)가 정상 범위에 있습니다. 마스킹된 민감정보 토큰도 포함되지 않았습니다.
- 대응 권고: 백업 대상 경로(nas01:/backup/db_full)의 접근 제어 목록(ACL) 및 암호화 적용 여부를 재확인하세요. 외부 네트워크 노출 가능성이 없는지 주기적으로 검토해야 합니다.

--- 로그 본문 (마스킹됨) ---
2025-11-16T09:45:30.056Z cron[backup] INFO job=nightly_full_backup status=OK duration=554s errors=0 target=""nas01:/backup/db_full""",시스템 배치/감사,,2025-11-16T09:46:30.057Z,2025-11-16T09:46:30.057Z
3,LOG-1763286350536-193,Medium,credential_abuse,[Medium] 로그인 게이트웨이 / credential_abuse,"[#LOG-1763286350536-193] 로그인 게이트웨이 / credential_abuse

- 발생 시각: 2025-11-16T09:45:15.047Z
- 최종 위험도: Medium
- PII 요약: 민감 PII는 없고, IP 주소 1건만 탐지됨 (정규식 기준).
- 위험도 판단 근거: admin01 사용자의 로그인 시도가 6회 실패하였으며, 이는 계정 탈취 시도 또는 비밀번호 추측 공격과 같은 credential abuse의 가능성이 있음. lockout=false로 계정이 잠금되지 않아 추가 공격 시도가 가능할 수 있음. 하지만 명시적인 외부 IP 정보가 마스킹되어 있어 공격 출처에 대한 추가 분석이 필요함.
- 대응 권고: 1. src_ip=[IP]에 대한 추가 조사 수행 (지리적 위치, 이전 공격 이력 등) 2. 계정 잠금 정책 검토 및 필요 시 임시 비밀번호 초기화 3. admin01 계정에 대한 다중 인증(MFA) 적용 여부 확인 4. 동일 사용자/계정에 대한 추가 로그인 실패 모니터링 강화

--- 로그 본문 (마스킹됨) ---
2025-11-16T09:45:15.047Z LOGIN_GW[auth] WARN too_many_failed_login user=admin01 fail_count=6 src_ip=[IP] lockout=false",로그인 게이트웨이,,2025-11-16T09:46:30.061Z,2025-11-16T09:46:30.061Z
4,LOG-1763286440319-757,High,exfiltration,[High] 파일 서버 / exfiltration,"[#LOG-1763286440319-757] 파일 서버 / exfiltration

- 발생 시각: 2025-11-16T09:47:15.019Z
- 최종 위험도: High
- PII 요약: 정규식 기준 민감 PII 패턴 미탐지
- 위험도 판단 근거: marketing01 계정이 Everyone 권한을 가진 익명 공유 경로에 3181행, 1.0GB 크기의 대용량 파일(/export/event_campaign_export.zip)을 생성한 이력이 확인되었습니다. 대용량 데이터를 퍼블릭 접근 가능한 위치에 저장한 행위는 데이터 유출(exfiltration) 위험성을 내포하고 있으며, 특히 파일명과 확장자(.zip)로 미루어 보아 압축된 내부 자료가 외부에 노출될 수 있는 중대한 설정 오류(misconfiguration)가 발생한 것으로 판단됩니다.
- 대응 권고: 1. 즉시 파일 공유 경로(/export/event_campaign_export.zip) 접근 권한 철회 및 삭제 조치 2. marketing01 계정의 최근 활동 로그 추가 분석(외부 전송 시도 여부 확인) 3. 공유 폴더 기본 권한 정책 재검토(Everyone 권한 사용 제한) 4. 대용량 데이터 외부 전송 감사 로그 활성화 여부 점검

--- 로그 본문 (마스킹됨) ---
2025-11-16T09:47:15.019Z FILESRV[share] ALERT user=marketing01 set_share path=""/export/event_campaign_export.zip"" perm=""Everyone,Read"" rows=3181 size=1.0GB link_type=""anonymous""",파일 서버,,2025-11-16T09:47:30.046Z,2025-11-16T09:47:30.046Z
5,LOG-1763286514889-625,Medium,monitoring,[Medium] 시스템 배치/감사 / monitoring,"[#LOG-1763286514889-625] 시스템 배치/감사 / monitoring

- 발생 시각: 2025-11-16T09:48:30.016Z
- 최종 위험도: Medium
- PII 요약: 정규식 기준 민감 PII 패턴 미탐지
- 위험도 판단 근거: nightly_full_backup 작업이 정상적으로 완료되었으며, 백업 프로세스 자체는 시스템의 정상적인 운영 활동으로 판단됩니다. 외부 전송이나 비정상 접근 없이 내부 NAS(nas01)로의 백업이 수행되었고, 오류 또는 예외 사항이 보고되지 않았습니다.
- 대응 권고: 백업 작업의 무결성 및 저장 경로(nas01:/backup/db_full)의 접근 권한을 주기적으로 점검하세요. 백업 파일에 대한 암호화 적용 여부와 보존 기간을 검토하여 불필요한 데이터 축적 또는 유출 가능성을 사전에 방지해야 합니다.

--- 로그 본문 (마스킹됨) ---
2025-11-16T09:48:30.016Z cron[backup] INFO job=nightly_full_backup status=OK duration=865s errors=0 target=""nas01:/backup/db_full""",시스템 배치/감사,,2025-11-16T09:49:30.048Z,2025-11-16T09:49:30.048Z
6,LOG-1763286515467-189,Medium,credential_abuse,[Medium] 로그인 게이트웨이 / credential_abuse,"[#LOG-1763286515467-189] 로그인 게이트웨이 / credential_abuse

- 발생 시각: 2025-11-16T09:48:00.009Z
- 최종 위험도: Medium
- PII 요약: 민감 PII는 없고, IP 주소 1건만 탐지됨 (정규식 기준).
- 위험도 판단 근거: 관리자 계정(admin01)에 대한 8회의 연속된 로그인 실패가 발생했으며, 계정 잠금(lockout)이 활성화되지 않아 추가적인 인증 시도 가능성이 존재합니다. src_ip=[IP]는 외부 공격자에 의한 무차별 대입 공격(credential stuffing) 또는 계정 탈취 시도(credential abuse)로 의심되는 패턴을 보입니다. 현재 lockout=false 상태이므로 지속적인 공격 가능성이 있어 중간 수준의 위험도가 부여됩니다.
- 대응 권고: 1) 즉시 src_ip=[IP]에 대한 네트워크 차단 조치 2) 관리자 계정(admin01)의 패스워드 강제 재설정 및 다요소 인증(MFA) 적용 3) 계정 잠금 정책(lockout) 활성화 여부 확인 및 임계값 조정(권장: 5회 실패 시 30분 잠금) 4) 동일 IP에서의 추가 로그인 시도 실시간 모니터링

--- 로그 본문 (마스킹됨) ---
2025-11-16T09:48:00.009Z LOGIN_GW[auth] WARN too_many_failed_login user=admin01 fail_count=8 src_ip=[IP] lockout=false",로그인 게이트웨이,,2025-11-16T09:49:30.052Z,2025-11-16T09:49:30.052Z
7,LOG-1763286613954-334,Medium,monitoring,[Medium] 시스템 배치/감사 / monitoring,"[#LOG-1763286613954-334] 시스템 배치/감사 / monitoring

- 발생 시각: 2025-11-16T09:50:09.012Z
- 최종 위험도: Medium
- PII 요약: 정규식 기준 민감 PII 패턴 미탐지
- 위험도 판단 근거: cron 작업에 의한 정상적인 nightly_full_backup 완료 로그로, 특별한 오류나 외부 전송 없이 내부 NAS(nas01)로 백업이 수행되었습니다. 로그 내에 개인정보 유출 또는 계정 악용을 의심할 만한 행위(예: [EMAIL], [PHONE] 등 민감정보 접근)가 확인되지 않습니다.
- 대응 권고: 백업 대상 경로(nas01:/backup/db_full)의 접근 제어 목록(ACL) 및 암호화 적용 여부를 재확인하세요. cron 작업 로그는 주기적으로 검토하여 비정상적인 실패 또는 지연 발생 시 추가 조사가 필요합니다.

--- 로그 본문 (마스킹됨) ---
2025-11-16T09:50:09.012Z cron[backup] INFO job=nightly_full_backup status=OK duration=143s errors=0 target=""nas01:/backup/db_full""",시스템 배치/감사,,2025-11-16T09:50:30.081Z,2025-11-16T09:50:30.081Z
8,LOG-1763286626090-259,Medium,credential_abuse,[Medium] 로그인 게이트웨이 / credential_abuse,"[#LOG-1763286626090-259] 로그인 게이트웨이 / credential_abuse

- 발생 시각: 2025-11-16T09:50:21.010Z
- 최종 위험도: Medium
- PII 요약: 민감 PII는 없고, IP 주소 1건만 탐지됨 (정규식 기준).
- 위험도 판단 근거: 관리자 계정(admin01)에서 8회의 연속된 로그인 실패가 발생했으나 계정 잠금(lockout)이 활성화되지 않았습니다. 이는 무차별 대입 공격(Brute Force) 시도 또는 자격증명 남용(credential_abuse) 가능성을 시사합니다. 다만 실제 유출이나 시스템 설정 오류로 직접 연결되지는 않아 중간 위험도(Medium)로 판단됩니다.
- 대응 권고: 1. 즉시 계정 잠금 정책(lockout) 활성화 및 실패 횟수 임계값 조정 필요. 2. 해당 IP([IP])에 대한 접근 차단 및 추가 인증 요청. 3. 관리자 계정에 대한 다중 인증(MFA) 적용 검토. 4. 최근 24시간 내 동일 계정의 로그인 시도 패턴 분석 수행.

--- 로그 본문 (마스킹됨) ---
2025-11-16T09:50:21.010Z LOGIN_GW[auth] WARN too_many_failed_login user=admin01 fail_count=8 src_ip=[IP] lockout=false",로그인 게이트웨이,,2025-11-16T09:50:30.094Z,2025-11-16T09:50:30.094Z
9,LOG-1763286634941-503,Medium,monitoring,[Medium] 시스템 배치/감사 / monitoring,"[#LOG-1763286634941-503] 시스템 배치/감사 / monitoring

- 발생 시각: 2025-11-16T09:50:30.011Z
- 최종 위험도: Medium
- PII 요약: 정규식 기준 민감 PII 패턴 미탐지
- 위험도 판단 근거: 로그 내용은 nightly_full_backup 작업이 정상적으로 완료되었음을 나타내며, 오류가 없고 내부 네트워크 저장소(NAS)로의 백업만 수행되었습니다. 외부 전송이나 민감정보 마스킹 토큰([EMAIL], [PHONE] 등)이 포함되지 않은 정상 운영 활동으로 판단됩니다.
- 대응 권고: 1. 주별 백업 로그 패턴 모니터링을 지속하세요. 2. 백업 대상 경로(nas01:/backup/db_full)의 접근 제어 목록(ACL)을 주기적으로 점검하세요. 3. 백업 성공 시 외부 전송 여부를 확인하는 네트워크 플로우 로그 연계 분석을 추가 권장합니다.

--- 로그 본문 (마스킹됨) ---
2025-11-16T09:50:30.011Z cron[backup] INFO job=nightly_full_backup status=OK duration=78s errors=0 target=""nas01:/backup/db_full""",시스템 배치/감사,,2025-11-16T09:51:30.102Z,2025-11-16T09:51:30.102Z
10,LOG-1763286641291-638,Medium,credential_abuse,[Medium] 로그인 게이트웨이 / credential_abuse,"[#LOG-1763286641291-638] 로그인 게이트웨이 / credential_abuse

- 발생 시각: 2025-11-16T09:50:36.010Z
- 최종 위험도: Medium
- PII 요약: 민감 PII는 없고, IP 주소 1건만 탐지됨 (정규식 기준).
- 위험도 판단 근거: admin01 계정에 대해 5회의 연속된 로그인 실패가 발생했으며, src_ip=[IP]에서 시도가 확인되었습니다. lockout=false이므로 계정 잠금 정책이 즉시 적용되지 않아 추가 공격 가능성이 존재합니다. 관리자 계정의 다중 실패 로그인은 credential_abuse의 전형적인 징후로, 계정 탈취 시도 또는 무차별 대입 공격을 의심해야 합니다. 다만 실제 유출이나 시스템 설정 오류는 확인되지 않아 Medium 위험으로 평가합니다.
- 대응 권고: 1. [IP]에 대한 네트워크 접근 차단 및 추가 로그인 시도 모니터링 2. admin01 계정의 비밀번호 즉시 재설정 및 MFA 적용 검토 3. 계정 잠금 정책(lockout=true) 활성화 여부 확인 및 임계값(예: 3회 실패 시 잠금) 조정 4. 동일 IP에서의 다른 계정 대상 공격 여부 조사

--- 로그 본문 (마스킹됨) ---
2025-11-16T09:50:36.010Z LOGIN_GW[auth] WARN too_many_failed_login user=admin01 fail_count=5 src_ip=[IP] lockout=false",로그인 게이트웨이,,2025-11-16T09:51:30.114Z,2025-11-16T09:51:30.114Z
